id,name,team,season,position,age,batting_hand,bowling_hand,status,_age,_batting_hand,_bowling_hand,_name
24,Suresh Raina,CSK,2008,Batsman,21y 163d,Left,Right arm offbreak,1,Age: 21y 163d,Batting: Left hand bat,Bowling: Right arm offbreak,Suresh Raina 
25,Vidyut Sivaramakrishnan,CSK,2008,All-Rounder,26y 157d,Left,Slow left arm orthodox,1,Age: 26y 157d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Vidyut Sivaramakrishnan 
26,Viraj Kadbe,CSK,2008,Bowler,18y 172d,Right,Legbreak,1,Age: 18y 172d,Batting: Right hand bat,Bowling: Legbreak,Viraj Kadbe 
27,AB de Villiers,DC,2008,Wicketkeeper Batsman,24y 81d,Right,Right arm medium,1,Age: 24y 81d,Batting: Right hand bat,Bowling: Right arm medium,AB de Villiers 
28,Amit Mishra,DC,2008,Bowler,25y 166d,Right,Legbreak,1,Age: 25y 166d,Batting: Right hand bat,Bowling: Legbreak,Amit Mishra 
29,Brett Geeves,DC,2008,Bowler,25y 330d,Right,Right arm medium fast,1,Age: 25y 330d,Batting: Right hand bat,Bowling: Right arm medium fast,Brett Geeves 
30,Daniel Vettori,DC,2008,All-Rounder,29y 102d,Left,Slow left arm orthodox,1,Age: 29y 102d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Daniel Vettori 
31,Dinesh Karthik,DC,2008,Wicketkeeper Batsman,22y 342d,Right,Right arm offbreak,1,Age: 22y 342d,Batting: Right hand bat,Bowling: Right arm offbreak,Dinesh Karthik 
32,Farveez Maharoof,DC,2008,All-Rounder,23y 244d,Right,Right arm medium fast,1,Age: 23y 244d,Batting: Right hand bat,Bowling: Right arm medium fast,Farveez Maharoof 
33,Gautam Gambhir,DC,2008,Batsman,26y 207d,Left,Legbreak,1,Age: 26y 207d,Batting: Left hand bat,Bowling: Legbreak,Gautam Gambhir 
34,Glenn McGrath,DC,2008,Bowler,38y 89d,Right,Right arm medium fast,1,Age: 38y 89d,Batting: Right hand bat,Bowling: Right arm medium fast,Glenn McGrath 
35,Manoj Tiwary,DC,2008,Batsman,22y 176d,Right,Legbreak googly,1,Age: 22y 176d,Batting: Right hand bat,Bowling: Legbreak googly,Manoj Tiwary 
36,Mayank Tehlan,DC,2008,All-Rounder,21y 210d,Right,Right arm offbreak,1,Age: 21y 210d,Batting: Right hand bat,Bowling: Right arm offbreak,Mayank Tehlan 
37,Mithun Manhas,DC,2008,All-Rounder,28y 209d,Right,Right arm offbreak,1,Age: 28y 209d,Batting: Right hand bat,Bowling: Right arm offbreak,Mithun Manhas 
38,Mohammad Asif,DC,2008,Bowler,25y 140d,Left,Right arm medium fast,1,Age: 25y 140d,Batting: Left hand bat,Bowling: Right arm medium fast,Mohammad Asif 
39,Pradeep Sangwan,DC,2008,Bowler,17y 185d,Right,Left arm medium,1,Age: 17y 185d,Batting: Right hand bat,Bowling: Left arm medium,Pradeep Sangwan 
40,Rajat Bhatia,DC,2008,All-Rounder,28y 199d,Right,Right arm medium fast,1,Age: 28y 199d,Batting: Right hand bat,Bowling: Right arm medium fast,Rajat Bhatia 
41,Shikhar Dhawan,DC,2008,Batsman,22y 155d,Left,Right arm offbreak,1,Age: 22y 155d,Batting: Left hand bat,Bowling: Right arm offbreak,Shikhar Dhawan 
42,Shoaib Malik,DC,2008,All-Rounder,26y 97d,Right,Right arm offbreak,1,Age: 26y 97d,Batting: Right hand bat,Bowling: Right arm offbreak,Shoaib Malik 
43,Tejashwi Yadav,DC,2008,Batsman,18y 181d,Right,,1,Age: 18y 181d,Batting: Right hand bat,Bowling: Right arm bowler,Tejashwi Yadav 
44,Tillakaratne Dilshan,DC,2008,All-Rounder,31y 207d,Right,Right arm offbreak,1,Age: 31y 207d,Batting: Right hand bat,Bowling: Right arm offbreak,Tillakaratne Dilshan 
45,Virender Sehwag (c),DC,2008,Batsman,29y 201d,Right,Right arm offbreak,1,Age: 29y 201d,Batting: Right hand bat,Bowling: Right arm offbreak,Virender Sehwag (c)
46,Yo Mahesh,DC,2008,All-Rounder,20y 139d,Right,Right arm medium fast,1,Age: 20y 139d,Batting: Right hand bat,Bowling: Right arm medium fast,Yo Mahesh 
47,Yogesh Nagar,DC,2008,All-Rounder,18y 123d,Right,Right arm offbreak,1,Age: 18y 123d,Batting: Right hand bat,Bowling: Right arm offbreak,Yogesh Nagar 
48,Aakash Chopra,KKR,2008,Batsman,30y 237d,Right,Right arm medium/ Right arm offbreak,1,Age: 30y 237d,Batting: Right hand bat,Bowling: Right arm medium/ Right arm offbreak,Aakash Chopra 
49,Ajantha Mendis,KKR,2008,Bowler,23y 63d,Right,Right arm offbreak,1,Age: 23y 63d,Batting: Right hand bat,Bowling: Right arm offbreak,Ajantha Mendis 
50,Ajit Agarkar,KKR,2008,Bowler,30y 161d,Right,Right arm fast,1,Age: 30y 161d,Batting: Right hand bat,Bowling: Right arm fast,Ajit Agarkar 
51,Ashok Dinda,KKR,2008,Bowler,24y 49d,Right,Right arm medium fast,1,Age: 24y 49d,Batting: Right hand bat,Bowling: Right arm medium fast,Ashok Dinda 
52,Brad Hodge,KKR,2008,Batsman,33y 136d,Right,Right arm offbreak,1,Age: 33y 136d,Batting: Right hand bat,Bowling: Right arm offbreak,Brad Hodge 
53,Brendon McCullum,KKR,2008,Wicketkeeper Batsman,26y 229d,Right,Right arm medium/ Right arm offbreak,1,Age: 26y 229d,Batting: Right hand bat,Bowling: Right arm medium/ Right arm offbreak,Brendon McCullum 
54,Cheteshwar Pujara,KKR,2008,Batsman,20y 109d,Right,Legbreak,1,Age: 20y 109d,Batting: Right hand bat,Bowling: Legbreak,Cheteshwar Pujara 
55,Chris Gayle,KKR,2008,All-Rounder,28y 235d,Left,Right arm offbreak,1,Age: 28y 235d,Batting: Left hand bat,Bowling: Right arm offbreak,Chris Gayle 
56,David Hussey,KKR,2008,All-Rounder,30y 303d,Right,Right arm offbreak,1,Age: 30y 303d,Batting: Right hand bat,Bowling: Right arm offbreak,David Hussey 
57,Debabrata Das,KKR,2008,Batsman,21y 234d,Right,Legbreak googly,1,Age: 21y 234d,Batting: Right hand bat,Bowling: Legbreak googly,Debabrata Das 
58,Iqbal Abdulla,KKR,2008,All-Rounder,18y 163d,Left,Slow left arm orthodox,1,Age: 18y 163d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Iqbal Abdulla 
59,Ishant Sharma,KKR,2008,Bowler,19y 254d,Right,Right arm medium fast,1,Age: 19y 254d,Batting: Right hand bat,Bowling: Right arm medium fast,Ishant Sharma 
60,Laxmi Shukla,KKR,2008,All-Rounder,27y 7d,Right,Right arm medium,1,Age: 27y 7d,Batting: Right hand bat,Bowling: Right arm medium,Laxmi Shukla 
61,Mohammad Hafeez,KKR,2008,All-Rounder,27y 209d,Right,Right arm offbreak,1,Age: 27y 209d,Batting: Right hand bat,Bowling: Right arm offbreak,Mohammad Hafeez 
62,Murali Kartik,KKR,2008,Bowler,31y 245d,Left,Slow left arm orthodox,1,Age: 31y 245d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Murali Kartik 
63,Ranadeb Bose,KKR,2008,Bowler,29y 76d,Right,Right arm medium fast,1,Age: 29y 76d,Batting: Right hand bat,Bowling: Right arm medium fast,Ranadeb Bose 
64,Ricky Ponting,KKR,2008,Batsman,33y 146d,Right,Right arm medium,1,Age: 33y 146d,Batting: Right hand bat,Bowling: Right arm medium,Ricky Ponting 
65,Rohan Banerjee,KKR,2008,Batsman,19y 155d,Left,Right arm medium,1,Age: 19y 155d,Batting: Left hand bat,Bowling: Right arm medium,Rohan Banerjee 
66,Salman Butt,KKR,2008,Batsman,23y 219d,Left,Right arm offbreak,1,Age: 23y 219d,Batting: Left hand bat,Bowling: Right arm offbreak,Salman Butt 
67,Saurasish Lahiri,KKR,2008,Bowler,26y 247d,Right,Right arm offbreak,1,Age: 26y 247d,Batting: Right hand bat,Bowling: Right arm offbreak,Saurasish Lahiri 
68,Shoaib Akhtar,KKR,2008,Bowler,32y 274d,Right,Right arm fast,1,Age: 32y 274d,Batting: Right hand bat,Bowling: Right arm fast,Shoaib Akhtar 
69,Siddarth Kaul,KKR,2008,Bowler,17y 360d,Right,Right arm medium,1,Age: 17y 360d,Batting: Right hand bat,Bowling: Right arm medium,Siddarth Kaul 
70,Sourav Ganguly (c),KKR,2008,Batsman,35y 310d,Left,Right arm medium,1,Age: 35y 310d,Batting: Left hand bat,Bowling: Right arm medium,Sourav Ganguly (c)
71,Tatenda Taibu,KKR,2008,Wicketkeeper Batsman,24y 365d,Right,Right arm medium,1,Age: 24y 365d,Batting: Right hand bat,Bowling: Right arm medium,Tatenda Taibu 
72,Umar Gul,KKR,2008,Bowler,24y 29d,Right,Right arm medium fast,1,Age: 24y 29d,Batting: Right hand bat,Bowling: Right arm medium fast,Umar Gul 
73,Wriddhiman Saha,KKR,2008,Wicketkeeper Batsman,23y 202d,Right,,1,Age: 23y 202d,Batting: Right hand bat,,Wriddhiman Saha 
74,Yashpal Singh,KKR,2008,Batsman,26y 168d,Right,Right arm medium,1,Age: 26y 168d,Batting: Right hand bat,Bowling: Right arm medium,Yashpal Singh 
75,Ajitesh Argal,KXIP,2008,Bowler,19y 223d,Right,Right arm medium,1,Age: 19y 223d,Batting: Right hand bat,Bowling: Right arm medium,Ajitesh Argal 
76,Brett Lee,KXIP,2008,Bowler,31y 175d,Right,Right arm fast,1,Age: 31y 175d,Batting: Right hand bat,Bowling: Right arm fast,Brett Lee 
77,Gagandeep Singh,KXIP,2008,Bowler,26y 211d,Right,Right arm medium fast,1,Age: 26y 211d,Batting: Right hand bat,Bowling: Right arm medium fast,Gagandeep Singh 
78,Irfan Pathan,KXIP,2008,All-Rounder,23y 187d,Left,Left arm medium fast,1,Age: 23y 187d,Batting: Left hand bat,Bowling: Left arm medium fast,Irfan Pathan 
79,James Hopes,KXIP,2008,All-Rounder,29y 190d,Right,Right arm medium,1,Age: 29y 190d,Batting: Right hand bat,Bowling: Right arm medium,James Hopes 
80,Karan Goel,KXIP,2008,Batsman,21y 129d,Left,Right arm offbreak,1,Age: 21y 129d,Batting: Left hand bat,Bowling: Right arm offbreak,Karan Goel 
81,Kumar Sangakkara,KXIP,2008,Wicketkeeper Batsman,30y 187d,Left,Right arm offbreak,1,Age: 30y 187d,Batting: Left hand bat,Bowling: Right arm offbreak,Kumar Sangakkara 
82,Kyle Mills,KXIP,2008,Bowler,29y 47d,Right,Right arm medium fast,1,Age: 29y 47d,Batting: Right hand bat,Bowling: Right arm medium fast,Kyle Mills 
83,Luke Pomersbach,KXIP,2008,Batsman,23y 216d,Left,Right arm offbreak,1,Age: 23y 216d,Batting: Left hand bat,Bowling: Right arm offbreak,Luke Pomersbach 
84,Mahela Jayawardene,KXIP,2008,Batsman,30y 340d,Right,Right arm medium,1,Age: 30y 340d,Batting: Right hand bat,Bowling: Right arm medium,Mahela Jayawardene (vc)
85,Nitin Saini,KXIP,2008,Wicketkeeper Batsman,19y 186d,Right,,1,Age: 19y 186d,Batting: Right hand bat,,Nitin Saini 
86,Pankaj Dharmani,KXIP,2008,Wicketkeeper Batsman,33y 217d,Right,,1,Age: 33y 217d,Batting: Right hand bat,,Pankaj Dharmani 
87,Piyush Chawla,KXIP,2008,All-Rounder,19y 129d,Left,Legbreak,1,Age: 19y 129d,Batting: Left hand bat,Bowling: Legbreak,Piyush Chawla 
88,Ramesh Powar,KXIP,2008,Bowler,29y 347d,Right,Right arm offbreak,1,Age: 29y 347d,Batting: Right hand bat,Bowling: Right arm offbreak,Ramesh Powar 
89,Ramnaresh Sarwan,KXIP,2008,Batsman,27y 313d,Right,Legbreak,1,Age: 27y 313d,Batting: Right hand bat,Bowling: Legbreak,Ramnaresh Sarwan 
90,Rishi Dhawan,KXIP,2008,All-Rounder,18y 72d,Right,Right arm medium fast,1,Age: 18y 72d,Batting: Right hand bat,Bowling: Right arm medium fast,Rishi Dhawan 
91,Sahil Kukreja,KXIP,2008,Batsman,22y 297d,Right,,1,Age: 22y 297d,Batting: Right hand bat,,Sahil Kukreja 
92,Shaun Marsh,KXIP,2008,Batsman,24y 297d,Left,Slow left arm orthodox,1,Age: 24y 297d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Shaun Marsh 
93,Simon Katich,KXIP,2008,Batsman,32y 254d,Left,Left arm wrist spin,1,Age: 32y 254d,Batting: Left hand bat,Bowling: Left arm wrist spin,Simon Katich 
94,Sreesanth,KXIP,2008,Bowler,25y 85d,Right,Right arm medium fast,1,Age: 25y 85d,Batting: Right hand bat,Bowling: Right arm medium fast,Sreesanth 
95,Sunny Sohal,KXIP,2008,Batsman,20y 173d,Right,Legbreak,1,Age: 20y 173d,Batting: Right hand bat,Bowling: Legbreak,Sunny Sohal 
96,Tanmay Srivastava,KXIP,2008,Batsman,18y 176d,Left,Right arm medium,1,Age: 18y 176d,Batting: Left hand bat,Bowling: Right arm medium,Tanmay Srivastava 
97,Uday Kaul,KXIP,2008,Wicketkeeper Batsman,20y 151d,Left,,1,Age: 20y 151d,Batting: Left hand bat,,Uday Kaul 
98,Vikram Singh,KXIP,2008,Bowler,23y 227d,Right,Right arm medium fast,1,Age: 23y 227d,Batting: Right hand bat,Bowling: Right arm medium fast,Vikram Singh 
99,Wilkin Mota,KXIP,2008,All-Rounder,26y 224d,Right,Right arm medium,1,Age: 26y 224d,Batting: Right hand bat,Bowling: Right arm medium,Wilkin Mota 
100,Yuvraj Singh (c),KXIP,2008,Batsman,26y 141d,Left,Slow left arm orthodox,1,Age: 26y 141d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Yuvraj Singh (c)
101,Abhishek Nayar,MI,2008,All-Rounder,24y 225d,Left,Right arm medium,1,Age: 24y 225d,Batting: Left hand bat,Bowling: Right arm medium,Abhishek Nayar 
102,Ajinkya Rahane,MI,2008,Batsman,19y 349d,Right,Right arm medium,1,Age: 19y 349d,Batting: Right hand bat,Bowling: Right arm medium,Ajinkya Rahane 
103,Andre Nel,MI,2008,Bowler,30y 310d,Right,Right arm medium fast,1,Age: 30y 310d,Batting: Right hand bat,Bowling: Right arm medium fast,Andre Nel 
104,Ankeet Chavan,MI,2008,Batsman,22y 205d,Left,Slow left arm orthodox,1,Age: 22y 205d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Ankeet Chavan 
105,Ashish Nehra,MI,2008,Bowler,29y 21d,Right,Left arm medium fast,1,Age: 29y 21d,Batting: Right hand bat,Bowling: Left arm medium fast,Ashish Nehra 
106,Ashwell Prince,MI,2008,Batsman,30y 358d,Left,Right arm offbreak,1,Age: 30y 358d,Batting: Left hand bat,Bowling: Right arm offbreak,Ashwell Prince 
107,Dhawal Kulkarni,MI,2008,Bowler,19y 162d,Right,Right arm medium,1,Age: 19y 162d,Batting: Right hand bat,Bowling: Right arm medium,Dhawal Kulkarni 
108,Dilhara Fernando,MI,2008,Bowler,28y 306d,Right,Right arm medium fast,1,Age: 28y 306d,Batting: Right hand bat,Bowling: Right arm medium fast,Dilhara Fernando 
109,Dominic Thornely,MI,2008,Batsman,29y 232d,Right,Right arm medium/ Right arm offbreak,1,Age: 29y 232d,Batting: Right hand bat,Bowling: Right arm medium/ Right arm offbreak,Dominic Thornely 
110,Dwayne Bravo,MI,2008,All-Rounder,24y 226d,Right,Right arm medium,1,Age: 24y 226d,Batting: Right hand bat,Bowling: Right arm medium,Dwayne Bravo 
111,Dwayne Smith,MI,2008,All-Rounder,25y 38d,Right,Right arm medium,1,Age: 25y 38d,Batting: Right hand bat,Bowling: Right arm medium,Dwayne Smith 
112,Gaurav Dhiman,MI,2008,All-Rounder,21y 156d,Right,Right arm medium fast,1,Age: 21y 156d,Batting: Right hand bat,Bowling: Right arm medium fast,Gaurav Dhiman 
113,Harbhajan Singh,MI,2008,Bowler,27y 322d,Right,Right arm offbreak,1,Age: 27y 322d,Batting: Right hand bat,Bowling: Right arm offbreak,Harbhajan Singh 
114,Lasith Malinga,MI,2008,Bowler,24y 266d,Right,Right arm fast,1,Age: 24y 266d,Batting: Right hand bat,Bowling: Right arm fast,Lasith Malinga 
115,Loots Bosman,MI,2008,Batsman,31y 36d,Right,Right arm medium,1,Age: 31y 36d,Batting: Right hand bat,Bowling: Right arm medium,Loots Bosman 
116,Luke Ronchi,MI,2008,Wicketkeeper Batsman,27y 27d,Right,,1,Age: 27y 27d,Batting: Right hand bat,,Luke Ronchi 
117,Manish Pandey,MI,2008,Batsman,18y 253d,Right,Right arm medium,1,Age: 18y 253d,Batting: Right hand bat,Bowling: Right arm medium,Manish Pandey 
118,Musavir Khote,MI,2008,Batsman,28y 28d,Right,Right arm medium,1,Age: 28y 28d,Batting: Right hand bat,Bowling: Right arm medium,Musavir Khote 
119,Pinal Shah,MI,2008,Wicketkeeper Batsman,20y 199d,Right,,1,Age: 20y 199d,Batting: Right hand bat,,Pinal Shah 
120,Rajesh Pawar,MI,2008,Bowler,28y 257d,Left,Slow left arm orthodox,1,Age: 28y 257d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Rajesh Pawar 
121,Robin Uthappa,MI,2008,Batsman,22y 191d,Right,Right arm medium,1,Age: 22y 191d,Batting: Right hand bat,Bowling: Right arm medium,Robin Uthappa 
122,Rohan Raje,MI,2008,Bowler,21y 260d,Right,Right arm medium fast,1,Age: 21y 260d,Batting: Right hand bat,Bowling: Right arm medium fast,Rohan Raje 
123,Sachin Tendulkar (c),MI,2008,Batsman,35y 26d,Right,Right arm offbreak/ Legbreak googly,1,Age: 35y 26d,Batting: Right hand bat,Bowling: Right arm offbreak/ Legbreak googly,Sachin Tendulkar (c)
124,Sanath Jayasuriya,MI,2008,All-Rounder,38y 325d,Left,Slow left arm orthodox,1,Age: 38y 325d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Sanath Jayasuriya 
125,Saurabh Tiwary,MI,2008,Batsman,18y 142d,Left,,1,Age: 18y 142d,Batting: Left hand bat,,Saurabh Tiwary 
126,Shaun Pollock,MI,2008,All-Rounder,34y 309d,Right,Right arm medium fast,1,Age: 34y 309d,Batting: Right hand bat,Bowling: Right arm medium fast,Shaun Pollock 
127,Siddharth Chitnis,MI,2008,Batsman,21y 14d,Right,Right arm offbreak,1,Age: 21y 14d,Batting: Right hand bat,Bowling: Right arm offbreak,Siddharth Chitnis 
128,Swapnil Singh,MI,2008,Bowler,17y 119d,Right,Slow left arm orthodox,1,Age: 17y 119d,Batting: Right hand bat,Bowling: Slow left arm orthodox,Swapnil Singh 
129,Vikrant Yeligati,MI,2008,Bowler,23y 27d,Right,Right arm offbreak,1,Age: 23y 27d,Batting: Right hand bat,Bowling: Right arm offbreak,Vikrant Yeligati 
130,Yogesh Takawale,MI,2008,Wicketkeeper Batsman,23y 197d,Right,,1,Age: 23y 197d,Batting: Right hand bat,,Yogesh Takawale 
131,Abdur Razzak,RCB,2008,Bowler,25y 305d,Left,Slow left arm orthodox,1,Age: 25y 305d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Abdur Razzak 
132,Anil Kumble,RCB,2008,Bowler,37y 181d,Right,Legbreak googly,1,Age: 37y 181d,Batting: Right hand bat,Bowling: Legbreak googly,Anil Kumble 
133,Ashley Noffke,RCB,2008,All-Rounder,30y 351d,Right,Right arm medium fast,1,Age: 30y 351d,Batting: Right hand bat,Bowling: Right arm medium fast,Ashley Noffke 
134,Balachandra Akhil,RCB,2008,Bowler,30y 191d,Right,Right arm medium fast,1,Age: 30y 191d,Batting: Right hand bat,Bowling: Right arm medium fast,Balachandra Akhil 
135,Bharat Chipli,RCB,2008,Batsman,25y 79d,Right,Right arm medium,1,Age: 25y 79d,Batting: Right hand bat,Bowling: Right arm medium,Bharat Chipli 
136,Cameron White,RCB,2008,Batsman,24y 241d,Right,Legbreak googly,1,Age: 24y 241d,Batting: Right hand bat,Bowling: Legbreak googly,Cameron White 
137,Dale Steyn,RCB,2008,Bowler,24y 293d,Right,Right arm fast,1,Age: 24y 293d,Batting: Right hand bat,Bowling: Right arm fast,Dale Steyn 
138,Devraj Patil,RCB,2008,Wicketkeeper Batsman,23y 131d,Right,,1,Age: 23y 131d,Batting: Right hand bat,,Devraj Patil 
139,Jacques Kallis,RCB,2008,All-Rounder,32y 182d,Right,Right arm medium fast,1,Age: 32y 182d,Batting: Right hand bat,Bowling: Right arm medium fast,Jacques Kallis 
140,Jagadeesh Arunkumar,RCB,2008,Batsman,33y 88d,Right,Right arm offbreak,1,Age: 33y 88d,Batting: Right hand bat,Bowling: Right arm offbreak,Jagadeesh Arunkumar 
141,KP Appanna,RCB,2008,Bowler,19y 117d,Right,Slow left arm orthodox,1,Age: 19y 117d,Batting: Right hand bat,Bowling: Slow left arm orthodox,KP Appanna 
142,Mark Boucher,RCB,2008,Wicketkeeper Batsman,31y 134d,Right,Right arm medium,1,Age: 31y 134d,Batting: Right hand bat,Bowling: Right arm medium,Mark Boucher 
143,Misbah-ul-Haq,RCB,2008,Batsman,33y 323d,Right,Legbreak,1,Age: 33y 323d,Batting: Right hand bat,Bowling: Legbreak,Misbah-ul-Haq 
144,Nathan Bracken,RCB,2008,Bowler,30y 216d,Right,Left arm medium fast,1,Age: 30y 216d,Batting: Right hand bat,Bowling: Left arm medium fast,Nathan Bracken 
145,Neravanda Aiyappa,RCB,2008,Bowler,28y 179d,Right,Right arm medium,1,Age: 28y 179d,Batting: Right hand bat,Bowling: Right arm medium,Neravanda Aiyappa 
146,Praveen Kumar,RCB,2008,Bowler,21y 196d,Right,Right arm medium,1,Age: 21y 196d,Batting: Right hand bat,Bowling: Right arm medium,Praveen Kumar 
147,Rahul Dravid (c),RCB,2008,Batsman,35y 95d,Right,Right arm offbreak,1,Age: 35y 95d,Batting: Right hand bat,Bowling: Right arm offbreak,Rahul Dravid (c)
148,Ross Taylor,RCB,2008,Batsman,24y 38d,Right,Right arm offbreak,1,Age: 24y 38d,Batting: Right hand bat,Bowling: Right arm offbreak,Ross Taylor 
149,Shivnarine Chanderpaul,RCB,2008,Batsman,33y 243d,Left,Legbreak,1,Age: 33y 243d,Batting: Left hand bat,Bowling: Legbreak,Shivnarine Chanderpaul 
150,Shreevats Goswami,RCB,2008,Wicketkeeper Batsman,18y 333d,Left,,1,Age: 18y 333d,Batting: Left hand bat,,Shreevats Goswami 
151,Sunil Joshi,RCB,2008,All-Rounder,37y 314d,Left,Slow left arm orthodox,1,Age: 37y 314d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Sunil Joshi 
152,Vinay Kumar,RCB,2008,Bowler,24y 63d,Right,Right arm medium,1,Age: 24y 63d,Batting: Right hand bat,Bowling: Right arm medium,Vinay Kumar 
153,Virat Kohli,RCB,2008,Batsman,19y 162d,Right,Right arm medium,1,Age: 19y 162d,Batting: Right hand bat,Bowling: Right arm medium,Virat Kohli 
154,Wasim Jaffer,RCB,2008,Batsman,30y 59d,Right,Right arm offbreak,1,Age: 30y 59d,Batting: Right hand bat,Bowling: Right arm offbreak,Wasim Jaffer 
155,Zaheer Khan,RCB,2008,Bowler,29y 190d,Right,Left arm medium fast,1,Age: 29y 190d,Batting: Right hand bat,Bowling: Left arm medium fast,Zaheer Khan 
156,Aditya Angle,RR,2008,Batsman,24y 176d,Right,Right arm offbreak,1,Age: 24y 176d,Batting: Right hand bat,Bowling: Right arm offbreak,Aditya Angle 
157,Anup Revandkar,RR,2008,Bowler,20y 153d,Right,Right arm offbreak,1,Age: 20y 153d,Batting: Right hand bat,Bowling: Right arm offbreak,Anup Revandkar 
158,Darren Lehmann,RR,2008,Batsman,38y 81d,Left,Slow left arm orthodox,1,Age: 38y 81d,Batting: Left hand bat,Bowling: Slow left arm orthodox,Darren Lehmann 
